job_id,volume,mode,IOpattern,IOsize,nodes,ioi_bw
5283,18480103424,write,stride,1048576.0,1,462002585.6
5283,8317304832,write,stride,1048576.0,1,831730483.2
5283,5064622080,write,seq,10485760.0,1,1012924416.0
5283,3491758080,write,seq,10485760.0,1,698351616.0
5283,26591887360,write,seq,10485760.0,1,483488861.0909091
5285,25484591104,read,seq,1048576.0,1,113264849.3511111
5285,4096000000,write,seq,102400.0,1,409600000.0
5285,3314548736,read,seq,1048576.0,1,110484957.86666667
5285,6660554878,read,seq,1048081.0193548388,1,95150783.97142857
5285,3148873728,write,stride,1048576.0,1,629774745.6
5285,3827302400,write,stride,1048576.0,1,765460480.0
5285,3517972480,write,stride,1048576.0,1,703594496.0
5285,3830448128,write,stride,1048576.0,1,383044812.8
5285,528482304,read,seq,1048576.0,1,105696460.8
5285,748683264,read,seq,1048576.0,1,74868326.4
5285,1714422279,read,stride,5211009.966565349,1,171442227.9
5285,4613734400,read,stride,5242880.0,1,461373440.0
5285,754974720,read,stride,5242880.0,1,150994944.0
5285,4755292160,read,stride,5242880.0,1,475529216.0
5285,2673868800,read,stride,5242880.0,1,534773760.0
5285,2458911239,read,stride,5220618.341825902,1,491782247.8
5285,27813478919,read,stride,5240904.262106651,1,556269578.38
5285,2584739840,read,stride,5242880.0,1,516947968.0
5285,90575994904,read,stride,5242576.541297679,1,566099968.15
5285,4676648960,read,stride,5242880.0,1,467664896.0
5285,7848591360,read,stride,5242880.0,1,523239424.0
5285,12011438080,read,stride,5242880.0,1,480457523.2
5285,4828692480,read,stride,5242880.0,1,482869248.0
5285,2037383168,write,seq,5675162.027855153,1,407476633.6
5285,5405409976,read,stride,5207524.061657033,1,540540997.6
5285,22942842889,read,stride,5241682.1770619145,1,458856857.78000003
5285,6705643990,read,stride,6548480.458984375,1,670564399.0
5285,20583546880,write,seq,10485760.0,1,1029177344.0
5285,7371489332,read,seq,7710762.89958159,1,737148933.2
5285,1142948170,read,stride,5148415.18018018,1,228589634.0
5285,17364418795,read,seq,10466798.550331526,1,1157627919.6666665
5285,3512729652,read,seq,10331557.8,1,702545930.4
5291,41943045656,read,seq,1048156.8786485406,1,4194304565.6
5291,57320409116,read,stride,5239046.62425738,1,11464081823.2
5291,152394794208,read,stride,5241437.462012038,1,30478958841.6
5291,41943041044,read,seq,10443984.32370518,1,4194304104.4
5291,4096000000,write,seq,102400.0,1,273066666.6666666
5291,6634340352,write,stride,1048576.0,1,331717017.6
5291,35093741568,write,stride,1048576.0,1,877343539.2
5291,7864320000,write,seq,10485760.0,1,786432000.0
5291,4110417920,write,uncl,10485760.0,1,411041792.0
5291,23016243200,write,seq,10485760.0,1,920649728.0
5291,6427770880,write,seq,10485760.0,1,428518058.6666666
5292,35403071488,read,seq,1048576.0,1,1770153574.4
5292,17275291676,read,stride,5230182.160460188,1,3455058335.2
5292,177382359040,read,stride,5242880.0,1,7095294361.6
5292,15057552608,read,stride,5228316.877777778,1,3011510521.6
5292,24106763180,read,seq,10449398.864325965,1,4821352636.0
5292,17836277864,read,seq,10436675.16910474,1,3567255572.8
5292,37771804672,write,stride,1048576.0,1,1079194419.2
