,dataset,jobid,timeserie,signal_length,n_brkpts,kernel,computation_time,loss
111,dataset_genji_IOI_BD260919,486693,bytesRead,4598,22,rbf,3.68623685836792,252.09043568359849
112,dataset_genji_IOI_BD260919,507742,bytesWritten,16,2,linear,0.0017414093017578125,42356.0
113,dataset_genji_IOI_BD260919,507742,bytesWritten,16,2,rbf,0.0013637542724609375,2.1094518287591484
114,dataset_genji_IOI_BD260919,507742,bytesRead,16,2,linear,0.0017044544219970703,3.677722391496902e+16
115,dataset_genji_IOI_BD260919,507742,bytesRead,16,4,rbf,0.0012814998626708984,0.6964208890311114
116,dataset_genji_IOI_BD260919,457344,bytesWritten,2758,8,linear,0.6507606506347656,3.9908859553433303e+18
117,dataset_genji_IOI_BD260919,457344,bytesWritten,2758,21,rbf,1.302927017211914,672.4226029008322
118,dataset_genji_IOI_BD260919,457344,bytesRead,2758,8,linear,0.6496748924255371,4.420653233234477e+17
119,dataset_genji_IOI_BD260919,457344,bytesRead,2758,10,rbf,1.2388606071472168,137.8984524421768
120,dataset_genji_IOI_BD260919,488287,bytesWritten,11437,5,linear,17.344308137893677,3.9733936320960586e+19
121,dataset_genji_IOI_BD260919,488287,bytesWritten,11437,24,rbf,28.73047709465027,3232.806643784493
122,dataset_genji_IOI_BD260919,488287,bytesRead,11437,11,linear,16.970536708831787,1.2917980049082642e+18
123,dataset_genji_IOI_BD260919,488287,bytesRead,11437,21,rbf,29.09745740890503,1867.173198804593
124,dataset_genji_IOI_BD260919,480600,bytesWritten,12,3,linear,0.001447916030883789,877780848431068.4
125,dataset_genji_IOI_BD260919,480600,bytesWritten,12,3,rbf,0.0012254714965820312,1.133192210409926
126,dataset_genji_IOI_BD260919,480600,bytesRead,12,3,linear,0.001322031021118164,882492298106600.5
127,dataset_genji_IOI_BD260919,480600,bytesRead,12,3,rbf,0.001142740249633789,1.143879002028814
128,dataset_genji_IOI_BD260919,469883,bytesWritten,76,2,linear,0.003926515579223633,1.3009360706429846e+19
129,dataset_genji_IOI_BD260919,469883,bytesWritten,76,4,rbf,0.0027740001678466797,17.03595670344385
130,dataset_genji_IOI_BD260919,469883,bytesRead,76,2,linear,0.0038623809814453125,1.5159790365903736e+20
131,dataset_genji_IOI_BD260919,469883,bytesRead,76,3,rbf,0.0027344226837158203,19.19219986646391
132,dataset_sop_db,7584,bytesWritten,90,4,linear,0.004655122756958008,1.0609466936533484e+19
133,dataset_sop_db,7584,bytesWritten,90,4,rbf,0.003242015838623047,34.62820233964659
134,dataset_sop_db,7584,bytesRead,90,7,linear,0.004660129547119141,1.1233434718687136e+21
135,dataset_sop_db,7584,bytesRead,90,9,rbf,0.003145933151245117,10.69651163755822
