,dataset,file_name,jobid,timeserie,signal_length,n_cluster,change_points,computation_time
46,dataset_mat_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_mat_db/job_6382.csv,6382,bytesWritten,156,3,14,0.1569983959197998
47,dataset_mat_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_mat_db/job_6382.csv,6382,bytesRead,156,3,9,0.15255999565124512
48,dataset_mat_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_mat_db/job_5969.csv,5969,bytesWritten,84,8,39,0.148115873336792
49,dataset_mat_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_mat_db/job_5969.csv,5969,bytesRead,84,2,20,0.13710999488830566
50,dataset_mat_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_mat_db/job_5932.csv,5932,bytesWritten,34,2,1,0.1568145751953125
51,dataset_mat_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_mat_db/job_5932.csv,5932,bytesRead,34,3,18,0.133697509765625
52,dataset_mat_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_mat_db/job_22578.csv,22578,bytesWritten,69,2,5,0.1538684368133545
53,dataset_mat_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_mat_db/job_22578.csv,22578,bytesRead,69,2,1,0.141984224319458
54,dataset_mat_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_mat_db/job_6308.csv,6308,bytesWritten,172,4,15,0.15094757080078125
55,dataset_mat_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_mat_db/job_6308.csv,6308,bytesRead,172,2,13,0.1434948444366455
56,dataset_mat_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_mat_db/job_6376.csv,6376,bytesWritten,156,2,8,0.15642380714416504
57,dataset_mat_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_mat_db/job_6376.csv,6376,bytesRead,156,3,9,0.14977359771728516
58,dataset_mat_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_mat_db/job_22624.csv,22624,bytesWritten,69,5,10,0.15352463722229004
59,dataset_mat_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_mat_db/job_22624.csv,22624,bytesRead,69,2,1,0.1363999843597412
60,dataset_mat_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_mat_db/job_6264.csv,6264,bytesWritten,171,2,13,0.1544947624206543
61,dataset_mat_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_mat_db/job_6264.csv,6264,bytesRead,171,2,0,0.15862369537353516
62,dataset_sop_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_sop_db/job_7584.csv,7584,bytesWritten,90,2,17,0.24485349655151367
63,dataset_sop_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_sop_db/job_7584.csv,7584,bytesRead,90,3,9,0.1384434700012207
64,dataset_sop_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_sop_db/job_7910.csv,7910,bytesWritten,39,4,14,0.1476583480834961
65,dataset_sop_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_sop_db/job_7910.csv,7910,bytesRead,39,2,5,0.14387059211730957
66,dataset_sop_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_sop_db/job_11638.csv,11638,bytesWritten,214,2,19,0.19248127937316895
67,dataset_sop_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_sop_db/job_11638.csv,11638,bytesRead,214,2,7,0.1561286449432373
68,dataset_sop_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_sop_db/job_3564.csv,3564,bytesWritten,56,2,9,0.2056412696838379
69,dataset_sop_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_sop_db/job_3564.csv,3564,bytesRead,56,2,6,0.13805723190307617
70,dataset_sop_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_sop_db/job_4281.csv,4281,bytesWritten,33,8,22,0.14419317245483398
71,dataset_sop_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_sop_db/job_4281.csv,4281,bytesRead,33,3,9,0.13098883628845215
72,dataset_sop_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_sop_db/job_7518.csv,7518,bytesWritten,43,2,7,0.14800572395324707
73,dataset_sop_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_sop_db/job_7518.csv,7518,bytesRead,43,2,6,0.133073091506958
74,dataset_sop_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_sop_db/job_7256.csv,7256,bytesWritten,29,5,21,0.14538311958312988
75,dataset_sop_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_sop_db/job_7256.csv,7256,bytesRead,29,3,7,0.13336896896362305
76,dataset_sop_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_sop_db/job_2537.csv,2537,bytesWritten,61,3,10,0.16387367248535156
77,dataset_sop_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_sop_db/job_2537.csv,2537,bytesRead,61,2,5,0.14037299156188965
78,dataset_sop_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_sop_db/job_2301.csv,2301,bytesWritten,26,8,21,0.14486455917358398
79,dataset_sop_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_sop_db/job_2301.csv,2301,bytesRead,26,2,9,0.22995543479919434
80,dataset_sop_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_sop_db/job_4821.csv,4821,bytesWritten,32,7,22,0.3607022762298584
81,dataset_sop_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_sop_db/job_4821.csv,4821,bytesRead,32,2,7,0.17048215866088867
