,dataset,jobid,timeserie,signal_length,n_brkpts,algo_name,cost_function,loss,penalty,computation_time
78,dataset_oth_db,1391,bytesWritten,1526,1,Binseg,Mala,2.818804103441344e+20,0.001,0.8943161964416504
79,dataset_oth_db,1391,bytesWritten,1526,1,Binseg,Mala,2.818804103441344e+20,0.015848931924611134,0.8931758403778076
80,dataset_oth_db,1391,bytesWritten,1526,1,Binseg,Mala,2.818804103441344e+20,0.25118864315095796,0.8943092823028564
81,dataset_oth_db,1391,bytesWritten,1526,4,Binseg,Mala,1.3339959516271265e+20,3.981071705534969,1.273481845855713
82,dataset_oth_db,1391,bytesWritten,1526,64,Binseg,Mala,4.271086587361384e+18,63.0957344480193,1.3673076629638672
83,dataset_oth_db,1391,bytesWritten,1526,1,Binseg,Rank,[[-261.97149059]],0.001,0.0829629898071289
84,dataset_oth_db,1391,bytesWritten,1526,1,Binseg,Rank,[[-261.97149059]],0.015848931924611134,0.08200526237487793
85,dataset_oth_db,1391,bytesWritten,1526,1,Binseg,Rank,[[-261.97149059]],0.25118864315095796,0.08212804794311523
86,dataset_oth_db,1391,bytesWritten,1526,4,Binseg,Rank,[[-1034.25386364]],3.981071705534969,0.16406583786010742
87,dataset_oth_db,1391,bytesWritten,1526,64,Binseg,Rank,[[-1460.74891176]],63.0957344480193,0.2868461608886719
88,dataset_oth_db,1391,bytesWritten,1526,0,Botup,L1,598016002024.0,0.001,0.157562255859375
89,dataset_oth_db,1391,bytesWritten,1526,0,Botup,L1,598016002024.0,0.015848931924611134,0.15673542022705078
90,dataset_oth_db,1391,bytesWritten,1526,0,Botup,L1,598016002024.0,0.25118864315095796,0.1564476490020752
91,dataset_oth_db,1391,bytesWritten,1526,3,Botup,L1,350745804202.0,3.981071705534969,0.15657734870910645
92,dataset_oth_db,1391,bytesWritten,1526,63,Botup,L1,9003868518.0,63.0957344480193,0.14103221893310547
93,dataset_oth_db,1391,bytesWritten,1526,0,Botup,L2,3.080624066750583e+20,0.001,0.12053894996643066
94,dataset_oth_db,1391,bytesWritten,1526,0,Botup,L2,3.080624066750583e+20,0.015848931924611134,0.12089061737060547
95,dataset_oth_db,1391,bytesWritten,1526,0,Botup,L2,3.080624066750583e+20,0.25118864315095796,0.12102556228637695
96,dataset_oth_db,1391,bytesWritten,1526,3,Botup,L2,1.861005311958149e+20,3.981071705534969,0.12040233612060547
97,dataset_oth_db,1391,bytesWritten,1526,63,Botup,L2,4.2710864071449426e+18,63.0957344480193,0.10936212539672852
98,dataset_oth_db,1391,bytesWritten,1526,0,Botup,Gauss,60805.650415291464,0.001,0.16922593116760254
99,dataset_oth_db,1391,bytesWritten,1526,0,Botup,Gauss,60805.650415291464,0.015848931924611134,0.16944265365600586
100,dataset_oth_db,1391,bytesWritten,1526,0,Botup,Gauss,60805.650415291464,0.25118864315095796,0.16899800300598145
101,dataset_oth_db,1391,bytesWritten,1526,3,Botup,Gauss,44832.322688177956,3.981071705534969,0.1688828468322754
102,dataset_oth_db,1391,bytesWritten,1526,63,Botup,Gauss,7369.6332435817685,63.0957344480193,0.15388846397399902
103,dataset_oth_db,1391,bytesWritten,1526,0,Botup,Linear,5.424157085602279e+20,0.001,0.09223055839538574
104,dataset_oth_db,1391,bytesWritten,1526,0,Botup,Linear,5.424157085602279e+20,0.015848931924611134,0.09235262870788574
105,dataset_oth_db,1391,bytesWritten,1526,0,Botup,Linear,5.424157085602279e+20,0.25118864315095796,0.09221959114074707
106,dataset_oth_db,1391,bytesWritten,1526,3,Botup,Linear,5.424157085602279e+20,3.981071705534969,0.09031152725219727
107,dataset_oth_db,1391,bytesWritten,1526,63,Botup,Linear,5.424157085602279e+20,63.0957344480193,0.08383822441101074
108,dataset_oth_db,1391,bytesWritten,1526,0,Botup,Clinear,3.863960173301869e+20,0.001,0.1016092300415039
109,dataset_oth_db,1391,bytesWritten,1526,0,Botup,Clinear,3.863960173301869e+20,0.015848931924611134,0.10183978080749512
110,dataset_oth_db,1391,bytesWritten,1526,0,Botup,Clinear,3.863960173301869e+20,0.25118864315095796,0.10197281837463379
111,dataset_oth_db,1391,bytesWritten,1526,3,Botup,Clinear,3.47036338451688e+20,3.981071705534969,0.10169458389282227
112,dataset_oth_db,1391,bytesWritten,1526,63,Botup,Clinear,3.3300229981772554e+18,63.0957344480193,0.09203386306762695
113,dataset_oth_db,1391,bytesWritten,1526,0,Botup,AR,3.885736787514012e+18,0.001,0.14337396621704102
114,dataset_oth_db,1391,bytesWritten,1526,0,Botup,AR,3.885736787514012e+18,0.015848931924611134,0.14319705963134766
115,dataset_oth_db,1391,bytesWritten,1526,0,Botup,AR,3.885736787514012e+18,0.25118864315095796,0.1431589126586914
116,dataset_oth_db,1391,bytesWritten,1526,3,Botup,AR,2.432896013575884e+18,3.981071705534969,0.14255523681640625
117,dataset_oth_db,1391,bytesWritten,1526,63,Botup,AR,9.717257127709057e+17,63.0957344480193,0.17465972900390625
118,dataset_oth_db,1391,bytesWritten,1526,0,Botup,Mala,3.080624066750581e+20,0.001,0.09262323379516602
119,dataset_oth_db,1391,bytesWritten,1526,0,Botup,Mala,3.080624066750581e+20,0.015848931924611134,0.09312677383422852
120,dataset_oth_db,1391,bytesWritten,1526,0,Botup,Mala,3.080624066750581e+20,0.25118864315095796,0.09372448921203613
121,dataset_oth_db,1391,bytesWritten,1526,3,Botup,Mala,1.8610053119581494e+20,3.981071705534969,0.08963203430175781
122,dataset_oth_db,1391,bytesWritten,1526,63,Botup,Mala,4.271086407144949e+18,63.0957344480193,0.07822370529174805
123,dataset_oth_db,1391,bytesWritten,1526,0,Botup,Rank,[[0.]],0.001,0.1343858242034912
124,dataset_oth_db,1391,bytesWritten,1526,0,Botup,Rank,[[0.]],0.015848931924611134,0.13358473777770996
125,dataset_oth_db,1391,bytesWritten,1526,0,Botup,Rank,[[0.]],0.25118864315095796,0.1336205005645752
126,dataset_oth_db,1391,bytesWritten,1526,3,Botup,Rank,[[-892.91766689]],3.981071705534969,0.13326382637023926
