,duration,size
5ad77a5f68db6672e171a501,854.0,328766.0
5ad77ac468db66732766e6c1,869.0,334404.0
5ad77b4168db66736c444921,869.0,534352.0
5ad77db768db6674534b6cb1,853.0,331042.0
5ad77e2f68db66749f6bb431,869.0,338748.0
5ad77ea668db6674e8535451,869.0,485622.0
5ad7811268db6675d54c7a21,853.0,424472.0
5ad7819468db66761b245461,868.0,343618.0
5ad7820d68db66767025cab1,868.0,336826.0
5ad7846768db66774743f571,853.0,330928.0
5ad784fb68db6677a74884e1,868.0,343023.0
5ad7857368db6677ec1c2121,868.0,341168.0
5ad787cb68db6678d437cbc1,853.0,401287.0
5ad7885f68db66792d69fd11,868.0,388701.0
5ad788da68db667976041261,868.0,389076.0
5ad78b3268db667a57300be1,852.0,551272.0
5ad78bc768db667aa4681871,867.0,337036.0
5ad78c3f68db667aef64d641,868.0,402465.0
5ad8586168db66594674e281,881.0,362089.0
5ad8586168db6659ff486821,900.0,379964.0
5ad8586168db665a0c3b4041,892.0,361649.0
5ad85bdd68db665e90582f51,917.0,461920.0
5ad85bdd68db665e986afb11,916.0,434259.0
5ad85bec68db665ec564f221,910.0,374315.0
5ad85f7168db6660226b2821,766.0,313075.0
5ad85f8f68db66605c224e41,812.0,346804.0
5ad85f8f68db666069535111,826.0,392198.0
5ad8626f68db66617b4cf781,765.0,315348.0
5ad862d668db6661d627e8e1,794.0,413360.0
5ad862d668db6661de4dd661,815.0,336669.0
5ad8656c68db6662d702e351,770.0,526184.0
5ad865f068db666330236c71,771.0,313673.0
5ad8660e68db66635f1dbb41,782.0,326753.0
5ad8686e68db66643731d511,789.0,385687.0
5ad868f368db6664aa64f361,765.0,319615.0
5ad8692f68db6664e3605731,824.0,338035.0
5ad86b8468db6665c5358651,777.0,403236.0
5ad86bfa68db6666190a0001,758.0,318242.0
5ad86c7268db66665e4c5dc1,776.0,318291.0
5ad86e8d68db66674a1480b1,758.0,375594.0
5ad86f0768db6667891f4281,758.0,324645.0
5ad86f7f68db6667ce104d71,770.0,320707.0
5ad8719b68db6668ae17b311,755.0,329656.0
5ad8721368db6668f328b1d1,758.0,387844.0
5ad8728a68db666939430871,774.0,365538.0
5ad8748e68db666a0634bb41,760.0,315051.0
5ad8751e68db666a5b73e2d1,757.0,313898.0
5ad8759668db666aa02057f1,776.0,317838.0
5ad8778668db666b75302461,754.0,494501.0
5ad8782a68db666bd3670111,754.0,359280.0
5ad878a368db666c387615f1,771.0,311276.0
5ad87a7868db666cf4438b11,794.0,402238.0
5ad87b3768db666d4f656d81,818.0,337184.0
5ad87baf68db666d9476e2f1,781.0,320332.0
5ad87d9268db666e57516171,774.0,324107.0
5ad87e7e68db666ec840cea1,757.0,365909.0
5ad87ed868db666efd0496a1,774.0,326785.0
5ad8809968db666fb71ffce1,754.0,312463.0
5ad8818a68db667024130f11,754.0,360938.0
5ad881e468db66706303d6a1,772.0,466282.0
5ad8838b68db6671114fcea1,758.0,307111.0
